'上海', '蟹叁寳·蟹黄捞饭', '南京西路', '特色菜', '8.6', '8.1', '8.5', 117, 'http://www.dianping.com/shop/H51PtB35rqlY3r6i'
'上海', '济州食堂 by 钟路商会', '苏河湾', '韩国料理', '9.0', '9.1', '9.1', 171, 'http://www.dianping.com/shop/l4QcJtNhECVvUm5W'
'上海', '大树餐厅', '世纪大道', '粤菜馆', '8.9', '9.2', '9.1', 142, 'http://www.dianping.com/shop/G2SRiq4oJiegJp70'
'上海', '七八冷面·延边朝鲜美食', '苏河湾', '韩国料理', '8.2', '7.9', '8.3', 71, 'http://www.dianping.com/shop/G3silHRAObtdxUoH'
'上海', '裕兴记面馆', '人民广场/南京路', '面馆', '8.5', '8.1', '8.2', 124, 'http://www.dianping.com/shop/G9LToMNDUtk2M7Re'
'上海', 'New York Bagelous Museum 纽约贝果博物馆', '新天地/马当路', '甜品', '7.7', '7.7', '7.6', 55, 'http://www.dianping.com/shop/G3YopmvhSvgpIqFd'
'上海', '一喜二喜·地摊小炉子烧烤', '长寿路', '烧烤烤串', '8.3', '8.1', '8.1', 108, 'http://www.dianping.com/shop/l7U8TVVjqqwx1p5O'
'上海', '闻三姐冒烤鸭', '肇嘉浜路/中山医院', '川菜馆', '8.3', '8.7', '8.7', 80, 'http://www.dianping.com/shop/GaUUUHTTXWxgaQir'
'上海', '浩海火燒雲傣家菜', '静安寺', '云南菜|滇菜', '8.2', '8.1', '8.4', 111, 'http://www.dianping.com/shop/H90u0jvX1RDjX8dg'
'上海', 'h2', '衡山路/复兴西路', '西餐', '8.3', '7.5', '7.7', 62, 'http://www.dianping.com/shop/G8z74pzqVswVZpXY'
'上海', '泰妃殿', '人民广场/南京路', '泰国菜', '8.9', '9.0', '9.0', 125, 'http://www.dianping.com/shop/EhhaGE14SHXmVNgp'
'上海', '麻都·成都菜', '人民广场/南京路', '川菜馆', '9.2', '9.1', '9.2', 95, 'http://www.dianping.com/shop/k2KPfSPS4Rvl6tDP'
'上海', '醉廬', '五角场/大学区', '上海本帮菜', '9.0', '9.0', '9.1', 130, 'http://www.dianping.com/shop/k49jdO0LSRP9FGmg'
'上海', '萍姐火锅·公路夜市', '日月光中心广场', '重庆火锅', '9.2', '9.2', '9.3', 113, 'http://www.dianping.com/shop/k9t1DmsmeIHLSVEG'
'上海', 'gluglu', '淮海路', '甜品', '8.0', '7.9', '7.9', 46, 'http://www.dianping.com/shop/k2IxRgzYw4STQNb0'
'上海', '泰珍荟 Siam Memory', '外滩', '泰国菜', '9.0', '9.1', '9.0', 420, 'http://www.dianping.com/shop/k3jwSewSlUBzs4Ge'
'上海', '山石榴·贵州菜', '淮海路', '贵州菜|黔菜', '9.0', '9.1', '9.1', 137, 'http://www.dianping.com/shop/G9WTLikdO9Rtriua'
'上海', '泰妃殿·Pattaya', '中山公园/江苏路', '泰国菜', '8.6', '8.7', '8.9', 122, 'http://www.dianping.com/shop/l5Q9l0FwQOMD4GJJ'
'上海', '四季民福烤鸭店', '北外滩/外白渡桥', '烤鸭', '8.4', '8.7', '8.4', 211, 'http://www.dianping.com/shop/H4kMI1vO8gwNCNYu'
'上海', '小吊梨汤', '苏河湾', '京菜', '8.1', '8.4', '8.5', 142, 'http://www.dianping.com/shop/l7cjya6eXJLWhU2Q'
